"","log2FoldChange","padj"
"LFT_01430",-0.715476043848514,0.00147546218861231
"LFT_00928",-1.21968811719173,0.00154253462729301
"LFT_01682",-0.948055773187327,0.00154793229856301
"LFT_01327",1.17882456420751,0.00154793229856301
"LFT_00418",2.46608589532123,0.00154793229856301
"LFT_02575",1.09685392480592,0.00154793229856301
"LFT_02540",0.887135888260011,0.00161707834997121
"LFT_00432",4.36321706493022,0.00161867297344787
"LFT_02100",-0.686894326361832,0.00165090870544226
"LFT_01573",0.584185749299102,0.00169021016538687
"LFT_01897",-0.66579270764961,0.00169540419270536
"LFT_00460",-0.81026713304025,0.00171275413425193
"LFT_00172",0.610050960197391,0.00176302747344372
"LFT_01865",-0.712000616159492,0.00183009062665809
"LFT_00999",-0.58231409573276,0.00183009062665809
"LFT_01582",-0.935800866182994,0.00188622330369988
"LFT_00257",-0.817123444593312,0.00189437402639106
"LFT_01429",-0.633360507807066,0.00189437402639106
"LFT_01231",1.64407566337131,0.00190424255049625
"LFT_00573",0.596562850603148,0.00194701806070982
"LFT_00861",-0.716457132989838,0.00199314525984439
"LFT_02560",-0.814367712202921,0.00202926442723872
"LFT_01755",-0.891148921486437,0.0020350708804583
"LFT_01032",-0.669715741536516,0.00210189539538613
"LFT_00752",1.50265113240438,0.00220082395039228
"LFT_00421",2.3921938618968,0.00220766639557971
"LFT_00636",0.519331778667697,0.00225971397157118
"LFT_02071",-0.717548931159542,0.00230217019299054
"LFT_01269",-0.578242026106932,0.00232594072798528
"LFT_01652",-0.574546669421001,0.00233248055824241
"LFT_02516",-0.94009667477308,0.00253732113619935
"LFT_01929",-0.643841302643674,0.00253732113619935
"LFT_01279",-0.873948961234631,0.00254276023456744
"LFT_00263",-1.10850430033539,0.00265844087732095
"LFT_00494",0.682140562970418,0.00275206368212271
"LFT_01887",-0.669402942637858,0.00285195443299587
"LFT_00526",-0.859271883351788,0.00289563568803752
"LFT_00584",0.870038588984832,0.00290514372025465
"LFT_01585",-0.504145511874832,0.00291057874680196
"LFT_01053",-0.63763060068397,0.00294343997952287
"LFT_02047",-0.526680942544136,0.00297268977389084
"LFT_02602",-0.668507272208813,0.00299530748322314
"LFT_00555",0.7906605107738,0.00299530748322314
"LFT_01621",-0.877994507844566,0.00301192217599834
"LFT_00199",0.67411563549298,0.00301456955281572
"LFT_01551",-0.682840938951448,0.00308996980170094
"LFT_01894",-0.586035914363196,0.00312605761953233
"LFT_00416",1.18185636239279,0.00318422265357293
"LFT_00176",-0.722991316688395,0.00325809857579995
"LFT_00627",-2.24330046943976,0.00325809857579995
"LFT_00804",0.985861468622759,0.00328868485023544
"LFT_01149",-0.507778407074382,0.00328868485023544
"LFT_01148",-0.703327155175531,0.00329859227375038
"LFT_00754",0.867205688301467,0.00333091617035777
"LFT_01371",0.828921447783205,0.00333407835067603
"LFT_00125",-0.560580428463871,0.00347744324006903
"LFT_02452",-0.709534946622355,0.00359794985758275
"LFT_00448",2.83292838981338,0.00362469577464191
"LFT_00474",-1.14712385194786,0.00365639803120553
"LFT_00538",0.730314313899934,0.00372806442383379
"LFT_01883",-0.537615229647095,0.00393373212953251
"LFT_00652",0.93397019034957,0.00393373212953251
"LFT_01985",-0.595693650507806,0.00399107859678565
"LFT_01930",-0.665937555916259,0.00400370793926506
"LFT_00252",-0.793336446435917,0.00400847414527705
"LFT_00759",0.97464380380603,0.00411997884678584
"LFT_00018",0.815337973436792,0.00416122284028795
"LFT_00314",-0.568547511261343,0.0042353350272024
"LFT_00249",0.526692192366717,0.00424737335896733
"LFT_01091",-0.76662120447421,0.00425169044733907
"LFT_00755",0.909793878217872,0.00430562487074014
"LFT_00393",-0.785605248873918,0.00438557652556129
"LFT_00426",2.08519264854426,0.00454319368382307
"LFT_01403",-0.713299687293553,0.00468776947786847
"LFT_00888",-0.652745762435556,0.00482387294269252
"LFT_01768",-1.12198106479043,0.00485373238409845
"LFT_01637",0.788208596784352,0.00488069927897362
"LFT_01853",1.56801543426419,0.00506733252309164
"LFT_00119",-0.610940702549952,0.00506733252309164
"LFT_01179",0.681021213204983,0.00507163735045574
"LFT_02247",-0.94739907468113,0.00508116056487239
"LFT_00419",4.0117006254633,0.00510148674198176
"LFT_00666",1.39786121602669,0.00513905795214341
"LFT_00825",-0.714981792513972,0.00513905795214341
"LFT_01815",1.38323739030755,0.00517157333192638
"LFT_02240",-0.748786715588102,0.00517157333192638
"LFT_01456",-0.559374385111699,0.0054508488496594
"LFT_01109",-0.543283032518505,0.00558290994410628
"LFT_00745",-1.00238026090201,0.00571628978355038
"LFT_01273",-0.539999347679685,0.00571628978355038
"LFT_00975",1.37632312026951,0.00602192144345387
"LFT_02201",0.875597794375184,0.00637601545912688
"LFT_02324",0.928918671966621,0.00642029896712336
"LFT_01630",-0.788390178541972,0.00645211374295136
"LFT_00167",-0.897544296134827,0.00661266686724689
"LFT_02079",1.10944652106124,0.00687138517761537
"LFT_00104",-0.512862443419923,0.00687786027350549
"LFT_00387",-0.599022105038356,0.00697496476531206
"LFT_02297",-0.579386624483478,0.0071524265696883
"LFT_01675",0.788730241146124,0.00732267501839867
"LFT_00266",-0.489210399378957,0.00738089052985709
"LFT_00099",-0.46671480016327,0.00747747819604926
"LFT_01072",-0.600398695554177,0.00747747819604926
"LFT_01891",1.4217424483064,0.00753357268841271
"LFT_01947",0.525321193633495,0.00789693086515206
"LFT_01267",-0.458809465490325,0.00802203500868511
"LFT_01954",0.64310709354897,0.00806259275556976
"LFT_01936",-0.586986458781497,0.00806259275556976
"LFT_00531",-0.923827804128736,0.00815999242220016
"LFT_01661",0.737670441465857,0.00827059279584007
"LFT_01284",-0.486570456204156,0.00833041338973875
"LFT_01740",1.48416960599319,0.00833498695385897
"LFT_01405",-0.515135045445391,0.00852029228502162
"LFT_00961",1.02235572830015,0.0085228703464136
"LFT_01088",0.789983105266427,0.00856809104472035
"LFT_01096",0.842814140830195,0.00865203338827516
"LFT_01588",0.968825766343558,0.00891320578735811
"LFT_01026",0.642075264016565,0.00907918930091052
"LFT_02117",-0.958553813736551,0.00915120869695707
"LFT_00422",2.00763383669855,0.0092012181760458
"LFT_02141",-0.590062987021076,0.00939186482784465
"LFT_00814",-0.625523855617636,0.00950426476337456
"LFT_02566",-0.898493168206885,0.00957279090487138
"LFT_01113",-0.536247133871438,0.00965295016752449
"LFT_00512",1.46996876393292,0.00968282136699439
"LFT_00075",-0.52705514829525,0.0100473394644046
"LFT_01381",-0.611566148512288,0.0102785867972395
"LFT_00177",-0.610914789270468,0.0102785867972395
"LFT_00707",-0.52721917957394,0.0103114789591294
"LFT_01007",-0.835314667860399,0.0105966147087879
"LFT_01566",-0.519255540478937,0.0106700191602967
"LFT_01399",-0.817142925877243,0.0107597943359606
"LFT_00379",-0.868466480109777,0.0108103145352363
"LFT_00022",-0.594234733577055,0.0108103145352363
"LFT_00653",1.54402652722709,0.0110013382490506
"LFT_02312",-0.872965469674553,0.0112378673890066
"LFT_01455",0.709668354341693,0.011344759499818
"LFT_01964",0.549911502872523,0.0115419504815415
"LFT_00613",-0.515247585439538,0.0115894448881427
"LFT_02090",-0.58053832191842,0.0117080307796931
"LFT_01866",0.615103602193057,0.0117080307796931
"LFT_00515",-1.16866772209869,0.0117080307796931
"LFT_00826",0.600989520757067,0.0117200207742049
"LFT_00853",0.55940121098699,0.0117200207742049
